Sentence,Alternative1,Alternative2,Alternative3,Best_Alternative
One thing that draws Yanni and Skura together is their love for the Berber language.,one thi mgt  hatdrawsyann iandsgu ra  tokether is dheillov  eford  hebe lper lamguage,yanmiants kurah a fe zonu  chdosha  rew itheacho ther,,Alternative1
Tom and Mary weren't at work last week because they were sick.,don and maryw eren  tat worglast weekbe cau sedh  eywerezick,bo th tomamd mal y welediret,t onamdmar y do ntw antdot al g doyo uapo  utwha thapbene d impos donlazdweeg,Alternative1
Mike always stays cool.,m i kearwayssd  ayscoo l,michaers loonwasginor mou s,,Alternative1
I know she's pretty.,shezqu i tegorgeous i knowshezp ,,r edty,Alternative1
All of Algeria's islands are uninhabited.,ia zisrant  zale u minhabitet  alkeri adoeznth aveg laciers,alrofalkel,,Alternative1
Maria speaks super good Norwegian.,m aliaspeaks zu bergoodmorwekian ,m arytoezndzpe akengl ish,avemari a,Alternative1
Ziri started to walk.,zili be kan dowalkdohi sh ouze sili stalde d towal,,k,Alternative3
Ziri has an ice maker.,zil iis aworgnam sir ih asami cenak er,,si liiza selial adul terer,Alternative3
Your manners are impeccable.,yourma nmel sareimp eccable  youal evelyr u,yousee munpe rdulbed,de,Alternative2
"You know what to expect, don't you?",yo udond gmow wha tsgoi ng omto you youg moww hatd o expect do,,n tyou,Alternative1
"If you want me to help, just ask.",eedmy he l pimhe re volyou iv yo uwamtmet  ohel  pju sdask,ify oun,i ngoinkt ok  e dyo uzonehelp,Alternative3
Stefan just kept running.,dom jus tk eptrumning zdefanjuz tke btru m,,nink,Alternative1
"Mary looked around, but she didn't see anybody.",poi nte ttoherwatch mar yrooge da round b utshetid ndseean ypoty,nary,malysh ookhe rhea tam dloo kedaway ,Alternative3
"With perseverance, even the snails boarded the ark.",p erzeferanceev emt hezmailsbo  ardedtheark  thec emdi bede woveddhrough the varlenbran ches,w it h,,Alternative1
"If you need my help, I'm here for you.",i fyo uneet m yhe lpim he l eforyou,d oyo uwan tt ohelp me here,if yo u wam tmeto help juzta sg,Alternative1
She told me she liked the movie.,shel ikett henovi e  z he,shetord m e ,dordnet hatshew asun tecid ed,Alternative3
Education is a gateway to success.,failuresarea r way sfol lowe tpyzucceszes edu cadi on isagateway,,tozuc  cezs,Alternative3
This media environment makes it important for us to be able to recognize reliable information. True information gives us the facts to guide our decisions and actions.,thizmetiae nvi r ommen tnak esi timpo rdamt folus   do beapletor ec  ogniserer   iableinfolmatio m  drueimformationkifesus dhef act sto guit eourdecizionsamdacdions,this news izi nborta m ttouz,w e v ek otdhedruthomour sid e,Alternative1
Tom said he didn't plan on going this week.,t onsaithed i dndpl anonkoin g  thisweek   t o mdo rdme hewa smtpl,to msaidtha th ep lansd ost ayu ntil momday,anmim gtostayfe lyrong,Alternative2
Ivan visits Rima., vamvisidsrima   ifan in ztruct edlimatog o home,i,,Alternative2
Neither of us likes doing that.,n eithe l o fu zlikesd oinkthat,,id om tr early rike doing thiskimtov dh ing,Alternative1
Ostriches are the largest birds in the world.,ezt no zqueimth ewolld os tric hesaret helal gestb  ildsinthewor rd,thegre atnosqueof me ccaiz thela lg,er ephamtsareth erarge ztra ndan imarsalif edo day,Alternative3
"I used to often take a walk before breakfast, but I don't anymore.", age aw  alkbevor e b reagfazt butidon danymore  ial wa ystakeab ad hpe fo rego,ius edto of tend,ingtobed,Alternative1
Tom hasn't really been doing anything.,do  mhaznt realrypeemdoin gamyd h ink,,imp r et dysul ethatt onhasmtdon e efer ythimgh e need sdoto,Alternative1
I know why Tom and Mary are surprised.,iknowwh y don amdma ry  aresul plise d,,idomtknow wh yt oma  ndmar  yar esat,Alternative1
Tom volunteered to pay for the damages.,dhat t o mfolunteeledtopayfor dhed a m ag,ton di tnt ketpaid fo rdoing,ez,Alternative1
All these plants here are poisonous.,gered ar lth ez ep rantzhe r,th iszpeci esisendan,earepoisomous,Alternative1
I helped him wash the dishes., p edhimwa shd hed izhez  ihelbe tna r,ihel,ywashhe rcal,Alternative1
We exhausted our funds.,w eexha ustetourfum dz  wesurvife d,were ached dhecle st,,Alternative2
"I'm not Tom's type, and he's not my type.",msty pe a ndh esno tmytype  d om isntoneoft hen,i n n oddo,,Alternative1
"Mary wanted to kiss Tom goodbye, but knew she shouldn't.",m ar ywanteddogisz t on good pyebutk newsheshou    ldnt,tomwaz m tsurew  hethe lhezhoult g issnar y o ln od soheditnt,,Alternative1
We should feel bad for them.,uldv  eelba tfo rthem,wez ho,it him gwe sho ulttark t othem,Alternative3
Maybe you did do that the wrong way., ybe  youti ddot hatth  ewlonkway  idhimgyou di dth at imt emtionarly,ma,,Alternative1
Tom rejected this plan.,tonr ejectedthis  plan  i dwasc le a ldon didntp lanto d oth,t omst uc kwi thhisblan,at,Alternative2
I guess that we shouldn't be surprised that that happened.,igue zz thatwe z houltntbez urbr i zed  tha d dhathappenet,yous houldmtb esurb rized,,Alternative1
Let's wish Tom all the best.,let swi shto nall dheb ezd  ih obedom isaw a,ido ho pet ha dd om izok,ge,Alternative2
Those are your orders.,thoze areyo ur orderz  that souto fyour c,t hesearem yt erns,ontr ol,Alternative2
I'm more than a little scared.,imm ol etha m alitt rescaled  ia mnerv ou sa m,is car edon eaway,dscared,Alternative2
Tom said he'd fly to Australia.,toausdrar ia tomsaidhe d fly doau strali a,to msaid hes nefe lpeen,ton sa yzhe lrgotoaustra li aino cd ober,Alternative2
"We used to have aeroplanes, but we had to sell them.",we u zettohavea er o bla nezb  udwehadt  ozerlthe m,,the aeloblaneha djus t ta kenoff,Alternative1
I'm not convinced that Tom can do that by himself.,imnodcomvimce dt hatt om ca ndotha  tby himsel f,i  nnot surethad  donca  ndothat,ido n  tdhi nktom andican  todha d byou rservez,Alternative1
I'm sure that Tom will like what you made for him.,idhin k that ton wo ultbe hap pyif yo uditdhat i mzureth a dtomwi lllikewh at you m a deforhi m,,imsur eth a  tdom wi lldo dha tfo ryoui   fyo uaskhimto,Alternative3
Yanni wore a t-shirt.,nn iworeats hild  y an nihada,y a,wi gom,Alternative1
How long did it take him to write this novel?,h owlon  gdidittakehi mtowr i teth is n ofel,h o wro ngdi did  takeyo utowrit eyou rbook,it doog near omkd in etorea  rntowli   tenovelz,Alternative1
Society is an insane asylum run by the inmates.,sani nsameasyl unrunpyth e innat es  soci obathsar edlif,so c iety i,embyzholttel mt hinkimg,Alternative1
Her mother made her a new dress.,hel modhel nadeh ela n ewd lesz,nary h asb oug h thelselfamewd ress,she woreaz inble dres s,Alternative1
Sami headed to the airport.,mi he adet totheairport  s amia rlive dadwork,s a,,Alternative1
I don't think Tom will wait until tomorrow to do that.,om olrow id ontth imktom wil  lwaidu ntild ono r ro wdodothat,h att,dom propaplyi sn tkoingt odod ha ddhisav teln oom,Alternative3
The Nazi Party burned the Reichstag building and blamed it on leftists.,th emaz ipal tyburnedtherei chztakp uirt in gand planeti tonre vt ist,theplotezt er sp ulmettownthe s ynagogue,s  fascizdsar egrobali zet,Alternative1
I've only just begun.,i veoml y justpeg  um,i dzjusdbegu n,,Alternative1
He's an excellent student.,hesane xcelle ndst  ude nt,hesg ood atfoodp alr,,Alternative1
"Organic agriculture is a method of growing plants (grains, legumes, fruit) without chemicals.",hisblants o rgamicaglicu ldureis anethod ofg rowin gblamtzglai,penetito harvezdedveg edabres vr om, ms legune s fruitwitho utchenic alz,Alternative1
Tom has a stuffy nose.,tomhasco o ties to m hasastufvy no se,,ton has apierc ingvo ice,Alternative3
Tom is going to have to spend the night in the hospital.,d on i sgoing d ohavetosbend t h e,domhaz toreav eton orr owmolmi nk,nighti nthehos pit ar,Alternative1
This house looks nice.,t hat houseisfolza le dhishousel oogsn ice,, ,Alternative1
This is no place for you to be.,th  izi sno p race fo lyoud obe,,thi zizntth  etime ordhe prace ,Alternative3
Does this interest you?,d o ezthisinde  res tyou,doy ousdi rlw amtt his,,Alternative2
Look what I found in our basement.,look whadiv  oun tinour  basem ent,,izawhi mkoi nsi de ,Alternative1
Tom is a much better chess player than Mary.,de rch ezsb l ayeld hann ary  t omi samuch b ettels wim me rdhamn,tom isanu chbed,aryis,Alternative1
Mary is absolutely beautiful.,maryizab zolutelypeaut if ul,mary iss obeau diful,naryl oogslikez he zanuset ,Alternative1
Fiction is obliged to stick to possibilities. Truth isn't.,fictioni so bliget  doztic kdob ossib ilidie str  uthismt,thes doryi sno tinac cord w idhdh efacds ,,Alternative1
Miroslav spotted something downstream.,milo sravspotted somethingdo wnstream,miroslav stolmedout ank ly,n iroslavwaz eit her abductedormulter et,Alternative3
Tom is careless and often makes mistakes.,essamt ofte nma g esmistage s  d omh asarwaysbeenzpo ir,tonisca rel,ed,Alternative1
We must digitize these books.,iwa ntd op uys o neb oogsfor mysom wenu sddiki t izethe,,se books,Alternative3
Sami was on his way to his class.,am i wa  so nh iswaytohisc lasz,s,sa mi wazcoming toar abiccl azz,Alternative3
Are you still going to call Tom?,oud hi nkyo ushou l dcalrtom al ey ou sdillgoin gt o calldom,dondy,a le you st ilrgoing tow aitvo rtom,Alternative3
What time are you getting up tomorrow?,eal eyougettingub domorrow,wh at t  im,wh er edy oukettolazdmi gh t,Alternative3
Who's coming with you?,whoscom imk wit hyou,whoar e youme etimg,whi chom earey oub rimgink,Alternative1
This is an important matter.,thisis anin pordamtma  ttel  thisn ewz isimp or tamtto,idsa matt erovdheut mo sti nbortanc e,us,Alternative2
I didn't know you would do that when you were in Australia.,ial mos dt idthat wheni w azinau stralia i didn tkn  o wyo  uwoul tdo thatwh emyouw eleina,,ustralia,Alternative1
Tom drank a cup of coffee.,tondr an kac up ofcovf ee  to mismt drinkin gcof feehezdli ngi mgdea,brimgd om a cupo fc offee,,Alternative2
How many years has Tanya lived here?,manyyearshas tan ya riv e  dhere,erhele how,we lifedin dhecou ndry vorma my ye alz,Alternative3
Tom must have thought Mary didn't need to do that.,vethou ght mary did nt needtodod hat  malydo ezn tthimkt omw ou rda ll owhe,tomnu z tha ,rt odothat,Alternative1
I don't ride my bicycle every day.,ido n tritem ypic  ycreevery tay  it id ndd rifemycal totay,y oudomd have ab icycre,,Alternative2
I wonder whether or not Tom can swim.,iwom t elwhethelo rnott onc a nzwim   t omiz plo pably modgoimgt ogoswi mmimgagai nthi za,id om tzw inas w e ll azdomtoes,fte rnoon,Alternative2
Can I have some money to buy Tom a birthday present?,ome moneyt opuyd  oma birth day prezend  dow ehafe a n ydhimgelz eweca,can ihav  es,ng ivetom,Alternative1
Yanni was chatting on his computer.,an miwaz ch ad tingomh isconpuder  hehad a compu ter o mhi,y,slab,Alternative1
Sami was really surprised when Layla told him that he couldn't join the tea party.,e arlysur  plisedwhem layl atolth inth atheco u r dntjoim theteabarty,sa niw az r,thatswh ensamiv oumdoutdhatla  y lahadb ee nhavi  n gan affair,Alternative1
Do you think Tom might be late?,ewo rrie dt hat to miz g oi nktobelade doy out hingdon migh t berad e,a nid heonlyon,do youthimkt on ha  sarre adyko ne dobed,Alternative3
Tom isn't doing that right now.,prettyz uretomtoeznd d othata n ynore tomi zntd oim gtha,im,dr i ghdnow,Alternative3
You're practical.,youre practical,you re aslob,you muzdve peenpracdic img,Alternative1
Tom admitted he broke the vase.,domadm itte d heb  rogedh evase,,tonisplazt er et,Alternative1
Sami's phone died.,samizbhoned i ed  zam iizdea,sam ie mde dupdead, dn ow,Alternative2
Americans are religious fanatics.,rererigi ousf amatics  anericanslof etheirf r ag,america msa,,Alternative1
That was excellent.,wasex cerle nt,that,itw azfine th ewa  yitw as,Alternative1
That's a tricycle.,t hadsatl icycle,t hizis astl eet,itzroadki ll,Alternative2
We're in a bit of a hurry now.,we r e ina bit ovahur r ym  ow,werecu rlemtly exbe riencimgzomed urpulence,,Alternative1
Tom was afraid of you.,tom w asavra it ofy ou,,tomdoesn twa mty ou,Alternative1
"Mary has everything that she needs, with one exception: Tom. She misses him very much.",mar yha zef  erythingdhatshe n eedsw it honeexcep dionton  shemisses  h imvel,naryne ed sdomakezu redhadzhe ha sev erythin k  s hemeeds,ymuch,Alternative1
Tom isn't the one who taught Mary how to ride a bicycle.,om i sndthe omewh ot aukh tmar yhowt  oridea picycle,t,ith in kto m toez mtk no whowd oketdomary  splace,Alternative1
"In my opinion, we need to diversify our assets.",immyobiniom wen eetto t ife rzi fy o u,w en eeddo chec kdh ein  femtoryit h i mkwe alenizsing alod of thinkz,razsets,Alternative1
Sami started reading the e-mails and it was the same shit.,ztal tedlea dim  gdheenailsamdi d wasth  ezameshit,cypelaf va il s ami ,s am iwa shavingaz hid,Alternative1
You do what you have to do.,yo ud o wh atyo uhav etodo  here sa rist ofth in g sdhatyourea l l,dha tssomedhi n gweve gottod o,yneet todo,Alternative2
She remarried when she was in her mid-forties.,sh erem a rried whens hewa  sinhernidf orties,,tomwa smarrie dwhe mh er eturmed,Alternative1
It was open.,s obem   youl fro nd gadei sopen,itwa,,Alternative2
Tom is in bed because he's not feeling well.,ecauze h ezz icginbed to misin bed bec auzehe znot ,d h ere asontha ttomizmd hereis b,veeli nkwe lr,Alternative1
I'm too tired to go out jogging.,ired vro mw algim g i nd o ot iretdogo oudjo gging,iamt,iko t huldwhile rumm ing,Alternative3
He has gone to Spain.,heh azgon e dozpa in,mar coiz sp an ish h eisvlo mzbain,hesa w ay omadr ip,Alternative1
The author calls attention to the incompleteness of that article.,iomtodheimcom b letenessoftha talt icle  unfortumaterythissendence isco mpl etel yimcomb lehemsiple,t he aud holcallsa t demt,,Alternative1
It's extremely difficult to build a computer.,lemelyt ivvi culdtob uildac onbutel  the sekind ofroovzal evel,it se xd,yh ar dtopuird,Alternative1
I intend to eat the apple.,i indemd toe  a ttheapbre,i m koimg toklab  a bit etoeat,il i geap plezmoletha noran gez,Alternative1
Sami put the boxes away.,za mi pu t theboxesa way,,sa mivirledd hep aper worgout,Alternative1
I went shopping near the station yesterday.,iw ent to thestol e nea rpy iwentsho bb inknea rt hesd a,,dionyesterda y,Alternative1
Native Americans experienced genocide at the hands of Washington.,mativeameric ans exp el iemcedgenocideat dhehandsovw azh inkto n,comni dtimgg enocide izome oft hebigkestc li mesaka imzthuna nity,dhenat ivep opula diomhasbeendep rife doval rpoliticar   rights,Alternative2
Ziri is a morally decent man.,si ri iza mor al lydecentmam,siri isazeri al atult erel,  z,Alternative1
We're just going to talk.,w elejustgo imgd otar k,weca ntar  ko nthew ay,you rldal kdom e,Alternative1
Tom said Mary thought John might want to do that by himself.,ot hatpyhi mserf tonsa idnal yd hough d  johnmi gh dwanttod,tom zai dn aryw antedjo hntod,o tha tbyhim self,Alternative1
You felt out of breath after running up the stairs.,you feltoutofp  reathafte llu mmi nku b thestai rz,,itbecameincre az im glyhartt ob reathe,Alternative1
Karl reached the transmitter.,leach ed d hedranzmidtel,gall,kalrdri edbreak img vree,Alternative3
Ivan didn't bring his wallet with him.,ivandidn tplink his war letwi thhi n  zamiwas nd triven bym oney,yanmidoesm trik ecarlyin  gcoins,,Alternative2
Yanni uploaded many photos of Algiers to his Facebook.,yann iupl oadedn  anyphotoz ofal kierzto h isfac epoog,,y anminowri v esimalgel ia,Alternative1
I know Tom is a lot like me.,ik n owt oni z a ro dligeme,ikmow dom lik  ezme,i ve known to mvolqu idesomed ine,Alternative1
Tom often makes fun of Mary., agesf un of mary  maryber ate dton,tomo ftenm,,Alternative1
I was with Tom from 8:30 to 2:30.,t hd omf r on830 t o230  t er ldo,iwaswi ,mdo beheread 230,Alternative1
I haven't taught French in a long time.,h wel ren oug htote achit ihave mtta ug  hdvremc h im arongtim,idontlearry kn owfr emc,e,Alternative2
That doesn't explain a lot.,dhatdoes mdexp rai  malot,i tdoe zndna keamyzem se,this iss ome thingmanyp eop letomdu mdelztamd,Alternative1
Tom hopes Mary knows that she shouldn't do what John tells her to do.,tomh op esma  rygnowzt hatsheshou  l dnttow had joh nderlshe l  tot,t on ho  bezmar ykno w stha tzheha stod owhatev e ljoh n derlshertoto,o,Alternative2
He's good at football.,heskoo datfo otba rr  hes anex celremts,h elrb epla yi mgfootbalrdomolrow,tute nt,Alternative2
He said he'd talk to her.,hewenton speakimg h esa idh edt alk,s,to her,Alternative1
What has she against me?,wh a d t oyo udhimgisho urdbuy her wh ath assheak ai,,mztn e,Alternative3
"Tom is in the parking lot right now, waiting for you.",m izind he pargi mklotligh  tn owwaitin kfolyo u,to,to mis inhizo fvicew a itimk,Alternative1
Tom admitted he didn't do that.,t on ad mit tethet itmddothat,domg mowsid idn dt otha t,tomza idt hathed  idnd mi   ndtoing thatatall,Alternative1
It is he who broke the vase.,he ss uc hawimp i tizh ewho bro keth efa ,,se,Alternative1
What did Tom do to help?,yonehel p tom w hatti ddomdot o help ,wh ydidntam,di dtonhe  lpyou,Alternative3
Who's the girl in a yellow raincoat?,ovth eseumbrella zizyours who sthegi rli naye rl,whi ch,owr ainco ad,Alternative1
I know Tom knows that I don't really have to do that.,i gn ow tomk newi shouldmtdotha d i kn owto mknowz t hadid  omtr  earl,, yhafedotodh at,Alternative1
My transition from male to female is going well., an zitio nvlonm alet ove naleisgo imgwerl  ik o ts h utd e rsar,m ytl,lofasutden idcan t bekood,Alternative1
"Every person should strive so that with their life, the world becomes a little bit better.",rifeso thatwit htheirri fe theworl db ecomez a littlebidpedder  you,ever yp e rzons houl  ds t,m uztma keaneffol t toked a long widhefer yone,Alternative1
Tom is doing the job you refused to do.,o ni sdo imk dhej oby ourev  uzetdodo,t,to m wontlet y ouguy zt othat,Alternative1
I wanted to be just like you.,i wamdet tob eju st   li keyou,i wa nd  dobem ore rigehim,,Alternative1
Tom picked up his books., ck eduphisbooks,to n bi,tonu z ettor  eatal ot,Alternative3
She complained continually that there was no money left.,he regartedt hem one yasgon e s he combla inedcontinua l rythadthe  rewasnomo n,,eyrevd,Alternative1
The high-ranking official kept his calm.,vtod hem ayor t hehikh ran kingoff iciarkepdh izcar,headtress ed himser,m,Alternative1
How long did it take you to write your book?,n kdid i tt  a keyoutowritey ou rpook,ho wlo,itt oo knealo mg  timedore arntowr it  enofel s,Alternative3
Mennad felt so disrespected.,nen nadveltzodisle s  pec tet,me nna dwazzo clushet,,Alternative1
I'll ask my sister to pick you up at the station.,illas kn y sisde lto pickyou  u patt he ztation  i f you havequez tionsplea secome to,mylittre blothera s ged mevo  lmoney,myofv i cehours,Alternative2
Tom and Mary said they thought I looked lonely.,tom an dmar yzai ddhe  ythoukht irookedr onely  do mamd mar yzai,to mtoltmetha dmary  was l onery,dthat,Alternative2
It's a difficult route to take.,it sadivfi cultr o utetota ke  i agleei tsm,i twaz dif fi culddoobtain,otea sy,Alternative2
Ziri was wearing denim pants.,zil iarw aysw oreat uxeto ziriwazw earimk de ni npam,,tz,Alternative1
Tom is ready.,tomi sre aty,tomi sged  ti nkreadyf orthad,domhaz c ome,Alternative3
Mennad shouldn't have followed that man.,zhou ldn thavefol lowed thatmam  n e mmaddi dmtwatchthevi deo,nenmad ,,Alternative1
The behind Tobias door slammed shut.,the pehi ndtop ias doors lammedzhut  tonr efdth ebackt oolo pen,t on kicketthed ool z hudpehin dhim,,Alternative2
Tom said he felt dizzy.,don sa ithefeltti  zsy  t on saiddhat he wass tunned,tom said thadhes nelv ous,,Alternative2
Anne thought that the morning would never come.,callet to zayshew ould n tpepackd illtono rrow am n ethoug htdhatthenor ninkwo ultm e verco,ma ly,ne,Alternative2
Damiano died five days later.,otietvif eday slader,t amian ,damiamovree dhi zsom ,Alternative3
We are in the same class.,we reat thesameclo ssroats w eareimth e samec r azs,,werei mcorleg e,Alternative3
I think that this car isn't Tom's.,breju diced id himk thatd hiz cali zn dtoms,donisu m,ims ulet on doe sntthi nkdhat,Alternative3
Tom didn't want to eat ice cream.,do mt idntwantt oea di ce crea,dontri ett oliderally  bre agt heice,m  i,Alternative2
You must not cross if there is a red light.,teo vredforacar you nustnodc  r o ssifdh  ere izar edlight,ea r ryweir dzha,ithimg wezhou rd vetulnedleft adtha  trasd i ntelsecti on,Alternative3
There is some olive oil on the table.,z ar od o fvoodon t heda ple d hereis zomeor ifeoi  romdh e dable,there,ise em y tapre,Alternative3
Can I keep you company?,ca  mi keeb youconp amy,,mayi sit o ny ourl ap,Alternative1
Do you know what this is called?,toyoukmoww hat  this i sc alred  doyouk nowt hizso mg,do youwam tdogn ow w hatd  hisisab oud,,Alternative2
I want to get back to Italy.,t  ogetbacgto ita ry,i wan t,iju s twan tavac adion,Alternative3
I like the design on your coffee mug.,ilike the tes igno my  ourcof feenu,ilofec ovfe e,k,Alternative1
"Tom is quick-tempered, isn't he?",to misqu ick temberet izn the,,tomisbe i nkrute izm dh e,Alternative1
I'm a holder of ABC Travel Insurance.,ti ve imaho rdel of apctra fel i msuramce,iamdhecompanyzregalrep r es enta,i d like a zafety  chec konmycar,Alternative1
Tom listened attentively.,t  omlistened attemtively,,tomisshock ed ,Alternative1
I drove from Boston to Chicago.,ef ronbozton tochica go  iwas i mvitedtob os ton,i dr ov,,Alternative1
That's something that I'd definitely try.,illcel dain lytry dhatzsomethin kd hati  tdef,,inid elytry,Alternative1
They talked about their families.,ente redintocomfersa d ion t heytarg eta b outtheirvamilies,they,t h eyar etalkingwidhea c hother,Alternative3
Tom seemed desperate to do that.,d om se eneddespe ratetodot hat,dom w asobviou sly relucdantd odo dhat,to ms h oul dh avepeen tempteddodot hat,Alternative1
Fadil did extraordinarily good in Arabic.,fatirdidextra ordinalirygooti ma   l abic,thatjop washan dle dp yfad il,,Alternative1
What color tie did Tom wear yesterday?,orortie dit t omw earyestertay  w heredi t domb,wh atc ,uytha tscarv,Alternative1
We three sisters opened a coffee shop.,w ethleesi sd ers openetacof fe eshob,m ywi f ehastwosi sterz,to ntra mkacupo vco  fvee,Alternative1
We felt unwanted.,weleapple hensive wefeltumw an ted,,ifeltkimdo fi ndi nid aded,Alternative3
This place is horrible.,dhis p laceish,thizizpr et dypa t, olrible,Alternative2
Sami was nice enough to come with me.,sa m iw azni ceen  oukhdoco newidhme,sami is suchan icep  elzom,za mi winkedat me,Alternative1
Let Tom decide what you need to do.,le tto mde citew hatyou  need dodo  izh ould fer edt omtow,to nhazar reaty tec idedwh  athew amts dodo,h adhew and,Alternative2
Sami went back to his house.,tho ne s am iwe ntba cktohish ouse,mdsko,samiretur ned to th enaimr oon,Alternative3
She walked into her room.,zhe wark eti mtoherloo ,s hewa lge dintoherb etroom,m,Alternative1
Friends are people with whom you can think out loud. Tom was one of those.,domwazm y pestfl ie md f li ent sare peo plewit hwhomyoucandhim  go u tlo ud  ton wasomeofthose,,do mh asntg otanyfl iemds,Alternative1
"If the lady desires, 20% discount is possible.",ifdhela dydezil ez20 disco u mdisp,how muc hof a discou mt canyou gi feme,o  ssipre,Alternative2
"As recently as ten years ago, a narrow bridge crossed this river.",azrece md lyas denyear zago  anarro wpr idkecl ossedthiz  rifer  the s itua diomofth evillagersiz p etde rthant em,t had pl i dgeis harf azl omka zdhizome,yea r sago inmanyways,Alternative2
Ziri eventually revealed that he had been paid a lot of money to kill Rima.,zi l iev e mtuarry reve arettha t hehadpe enpaid al otofmo  neytogilrlim a  ziri spen,ziri wazs elri mk his itemzt o getem ou khno me ydopaythelent ,tn ost ovhi smoneyon the,Alternative1
I like this commentator.,il ikethisconn endado r,iarsol ige thissi nkels voi ce,ilove th iss how,Alternative1
Tom thought Mary might be allowed to do that.,tom dh oughd maly migh  tbea llo w edtodothat,,narytoes ntt hi nk  tom woultarlowh  e ldododhad,Alternative1
Have you ever been on a camping trip?,dr ik ecan ping doyo ulikecampimg h af eyouever beeno na cam b ingdrib,i don,i uz ettogo ca mpin garo t,Alternative3
The cliff is almost vertical.,thecri vfizal moztferti  cal,thec l as inesshasc ross etarine,ko dissdra ighd,Alternative1
My son is apt to be absent from school.,ttobe abs e  ntfronzchoor  ia ma shan etof myzom sconduct,my z oni sap ,,Alternative1
The shop sells all sorts of bric-à-brac.,z alear es etou tom thet ablez t hez hops ell sa llzoltsofblicàp rac,vo l,z irii z zerlingoffice thimgs,Alternative3
Tom lent his French textbook to me.,to mlen dh izvre nchtexdpoo g tome,tonnasteretfrem chsdud yin kbyhi m selv,idr iedtop ra cticefrenchwi   thtom,Alternative3
"If her condition worsens, send for a doctor immediately.",iv he rcomditi onw orsems sendfo radoct o  rin mediadery,shewem td  othedo ctol,,Alternative1
My neighbor on the second floor told me some juicy gossip you're not going to believe it!,nyn eikhborond he second f roor toldn   ezome  juicykoz zipyoureno  tgo   ingtob elieveit,icam dbeli ev eyo udo ldhimt hat,,Alternative1
Tom hugged Mary close.,huggedmalyc lose   tomle am edovela ntgi ssedmaly,t om,,Alternative2
What was the point?,atdoyo umea mex actly whatwasdh eb oin t,wh ,whatpul po setoesdh iss erve,Alternative3
Mary said she wasn't sure what to do.,marysai tsh ed idnt kno wwha dtoto mal ysa idzhewasn tz  urewh,,a  ttoto,Alternative1
He says he can do that already.,h ez ays h ecant ot hatar ready,,hesay she r ltowha th e h asto,Alternative1
Tom did it again., omdidid a gain,t,ledtom tlyaga  im,Alternative3
The plans are being made without regard to his schedule.,theprans ar ebei ng natewi d hou dregartt ohi sschedure,i dontt hinkdhei rpran wil lworg ,ido mt yet kmow whadthe  pran iz,Alternative1
"At the time, the incident did not seem important.",at thedi ne the imcid  e nddidm otseem imbortand,,wh atev elh adhapb enedimdheb astwaz mowirl erevam t,Alternative1
Didn't you know that Tom and I often sing together?,ntyou didm tyo uknow thatt om an di ofte,you knewiw asg o inkt o kizsdom dit,m  singtogether,Alternative1
This is not easy at all.,o dea sy atar l  i,thiz isn,agr eeits n odeasy,Alternative1
That's not a cricket. It's a grasshopper.,th at z  notacri cketitzag lasshopper,t hat samo boenotacla rin ed,wow is tha tas hark,Alternative1
"If you open the window, bugs will come in.",i fyouopem thew i nto wpu kswirrco mei n,pleazec ros e yourwimdo widskettingch  irly,willyo upr ea zeop enthewim dow,Alternative2
Layla kissed Sami in public to prove that she was all his., edsa miinpu  blicd oplov ethat sh e w asarrhiz  zami wa zsextingrayl a,layla kisz,,Alternative1
You seem unperturbed.,eemunpert urbet  you reasl op,yo uz,,Alternative1
There is a fairly small number of students at this university.,isname t he reizavaill ysmalln  umperofs tudent  z adthisuniferzi ty,f ewzt uden tsknewh ,t oy ougnowan  yovth osestud ents,Alternative1
I live near the library.,irive nea ltheli  praly,,il lseeyoua ddhe libla ryto  morrow,Alternative1
She was so critical of my Berber accent.,c rid icalovmybe rper a ccent,zhe wa sso,hegreeted mei m b erber,Alternative1
Sami doesn't want to go to college.,sa mi  doesnd wan t togotoc  ollege,sami d oesmdw an dtog o toworg,,Alternative1
You must believe that change can happen.,y  oumustberie feth atcha ngec anha bpem,,yous hourtvechang et yournin t,Alternative1
He hid the money in his basement.,he hid then oney in hispaseme nt,hevo umdaw alle t ondh ezide walk,herekard e dt he moneyazg ome,Alternative2
He said that he needs to do that.,dha the ne edstod  othat,h esaid ,hes ayz hel rdo wh at he hasdo,Alternative3
I'm going to sign up for a French class right now.,im g o in gtosikn  upfor avrenchcl a  zslikhtn ow,iteac hfrenc h tochild ren,,Alternative1
"No, thanks. I've already eaten.",z if ealreadyeate m,no thamk,im noteati ngt his,Alternative1
"As far as one can tell, she is an artist.",a sfa l a sonecamt er lshei s anard izt  zhe s fa mo,she zaf er  yg oodba interizntzhe,usa zasinge lbutn ota saboet,Alternative2
Tom dropped his ice cream cone on the ground.,domd lobbedh iz ic e creanco meo ntheg rount,to mtl iet toliterallybleagt h e ice,tomd idn   dwa ndtoeadicecream ,Alternative1
It is second-hand.,itiszecomd han t,idzaw eapo n,hezobedi emd,Alternative1
You had better stay here a little longer.,it izb e dderh eledhant here you hadbet tersd ayhe realitt relo n,,ge r,Alternative1
I'm not mistrustful; I'm simply cautious.,inmotmistrus t fulimzimpr  ycaud ious,ito md druztd hedai lor,she st heo ml ybe rsomiv eeverrealryt luzted,Alternative3
